date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:23	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:22%20GMT	https://www.shipito.com/imgs/locations/WhsOR2.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsOR2.png	(from https://www.shipito.com/fr/help/locations)
14:45:24	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:23%20GMT	https://www.shipito.com/imgs/locations/WhsOR3.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsOR3.png	(from https://www.shipito.com/fr/help/locations)
14:45:25	128659/128659	---M--	200	added ('OK')	image/png	etag:496bdf2fa6faf55cb926b90204f97d69	https://www.shipito.com/en/imgs/locations/WhsOR1.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Oregon1.png	(from https://www.shipito.com/fr/help/locations)
14:45:25	120144/120144	---M--	200	added ('OK')	image/png	etag:cbe83806eb2b3bb5c44677a171b2dde6	https://www.shipito.com/en/imgs/locations/WhsOR2.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Oregon2.png	(from https://www.shipito.com/fr/help/locations)
14:45:25	62753/62753	---M--	200	added ('OK')	image/jpeg	etag:2fc721181c4f04e6ea83163e1a086b07	https://www.shipito.com/en/imgs/locations/WhsOR3.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Oregon3-1.jpg	(from https://www.shipito.com/fr/help/locations)
14:45:25	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:24%20GMT	https://www.shipito.com/imgs/locations/WhsOR4.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsOR4.123.delayed	(from https://www.shipito.com/fr/help/locations)
14:45:26	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:25%20GMT	https://www.shipito.com/imgs/locations/WhsOR5.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsOR5.png	(from https://www.shipito.com/fr/help/locations)
14:45:26	60738/60738	---M--	200	added ('OK')	image/png	etag:7ae179197691159893446d754e68cf49	https://www.shipito.com/en/imgs/locations/WhsOR5.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Oregon5.png	(from https://www.shipito.com/fr/help/locations)
14:45:27	67632/67632	---M--	200	added ('OK')	image/png	etag:ce5a5a845015fd729df89463791eb473	https://www.shipito.com/en/imgs/locations/WhsOR4.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Oregon4.png	(from https://www.shipito.com/fr/help/locations)
14:45:27	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:26%20GMT	https://www.shipito.com/imgs/locations/WhsAU1.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsAU1.png	(from https://www.shipito.com/fr/help/locations)
14:45:27	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:26%20GMT	https://www.shipito.com/imgs/locations/WhsAU2.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsAU2.png	(from https://www.shipito.com/fr/help/locations)
14:45:28	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:27%20GMT	https://www.shipito.com/imgs/locations/WhsAU3.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsAU3.png	(from https://www.shipito.com/fr/help/locations)
14:45:29	145471/145471	---M--	200	added ('OK')	image/png	etag:2c0fc955e82e78e2ef6fcb706e519758	https://www.shipito.com/en/imgs/locations/WhsAU2.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Austria2.png	(from https://www.shipito.com/fr/help/locations)
14:45:29	160571/160571	---M--	200	added ('OK')	image/png	etag:777e4e5f7dec4f1d0a87b88fee8ab0d9	https://www.shipito.com/en/imgs/locations/WhsAU1.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Austria1.png	(from https://www.shipito.com/fr/help/locations)
